UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA;ESTADO_MESA;UBICACION_EN_CEDULA;TIPO_AGRUPACION;CODIGO_AGRUPACION;AGRUPACION_POLITICA;VOTOS_OBTENIDOS;ELECTORES_HABILES;VOTOS_BLANCOS;VOTOS_NULOS;VOTOS_IMPUG
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;54;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161355;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;122;0;0;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;1;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;65;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161356;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;2;201;1;4;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;1;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;2;NACIONAL;00000004;ALIANZA PARA EL PROGRESO;2;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;3;NACIONAL;00000001;PARTIDO DEMOCRATICO SOMOS PERU;70;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161358;ACTA ELECTORAL RESUELTA;4;REGIONAL;00000002;MOVIMIENTO ACCION NACIONALISTA PERUANO;0;192;2;2;0
020804;ANCASH;HUARI;HUACACHI;MUNICIPAL DISTRITAL;161359;ACTA ELECTORAL RESUELTA;1;NACIONAL;00000003;UNION POR EL PERU;0;181;0;4;0
